,address,lat,lon
0,"בי""ס נבון",31.8927303,34.7769436
0,"מתנ""ס כפר גבירול ישן (בית תנוב",31.8945265,34.7770918
0,"חט""צ ע""ש בגין",31.9021923,34.8252074
0,"בי""ס עץ חיים",31.8852272,34.7862129
0,"תלמוד תורה ממד הראי""ה (הדרים)",31.892773,34.811272
0,"מתנ""ס חוויות - נווה יהודה",31.899885,34.799526
0,"בי""ס שפרינצק",31.9006595,34.7997207
0,"ביה""ס ממ""ד סיני",31.9229061,34.8663035
0,"בי""ס קציר ב'",31.8917685,34.7995722
0,"בי""ס קציר א",31.8917685,34.7995722
0,"בי""ס המר",31.892773,34.811272
0,"בי""ס ויצמן חדש",31.8941148,34.805065
0,מכללה עירונית קמפוס רחובות,31.8921107,34.80779
0,"בי""ס בן צבי",31.8895092,34.80894079999999
0,"תלמוד תורה ""הראם""",31.8953369,34.8148519
0,"בי""ס שריד",31.8981053,34.8154966
0,"בי""ס בכור לוי",31.9034937,34.8153708
0,"בי""ס סמילנסקי",31.89649649999999,34.81544480000001
0,"בי""ס ממ""ד תחכמוני",31.9002367,34.81878100000001
0,ביס ממלכתי דתי בראשית,31.8930061,34.8119059
0,"בי""ס תלמוד תורה חב""ד רחובות",31.8920581,34.8190983
0,"ביה""ס בנות אסתר",31.8905515,34.8249087
0,"בי""ס יבניאלי",31.8816982,34.8196295
0,"בי""ס נועם הצבי-בנות",31.8839238,34.8172026
0,"ביס ת""ת הבאר-לשעבר מפתן אלונים",31.8824356,34.8156686
0,"בי""ס השיטה",31.8767152,34.8141885
0,"בי""ס בן גוריון",31.8785607,34.8159989
0,"מתנ""ס צפון חדש (חוויות)",31.892773,34.811272
0,"מתנ""ס חשמונאים",31.885044,34.8026166
0,אורט ברזילי,31.883297,34.808894
0,"בי""ס נתיבות משה",31.8833207,34.80897119999999
0,היחידה להתפתחות הילד - חוויות,31.8822529,34.8287707
0,מתנס אושיות-מפעל הפיס,31.8825048,34.8193654
0,"בי""ס אמי""ת",31.892773,34.811272
0,קרית חינוך למדעים (חדש),31.8896029,34.8308089
0,"בי""ס ויצו מקצועי",31.8864741,34.8063198
0,"בי""ס ממ""ד מעלות משולם",31.8895773,34.8236509
0,"בי""ס שזר",31.892773,34.811272
0,"ביה""ס ממלכתי הרצוג",31.8927419,34.7821437
0,ביס אילן רמון,31.892773,34.811272
0,ביס פרחי המדע,31.9048138,34.8242721
0,"בי""ס ניצני המדע",31.9012034,34.8223669
0,"בי""ס שביט",31.892773,34.811272
0,מתנס חוויות ההולנדית,31.89186449999999,34.7825402
