name,district,population_thousands
אום אל-פחם,חיפה,54.2
אופקים,הדרום,27.8
אור יהודה,תל אביב,36.7
אור עקיבא,חיפה,17.8
אילת,הדרום,50.7
אלעד,המרכז,46.9
אריאל,אזור יהודה והשומרון,19.6
אשדוד,הדרום,222.9
אשקלון,הדרום,137.9
באקה אל-גרביה,חיפה,29.0
באר שבע,הדרום,207.6
בית שאן,הצפון,17.7
בית שמש,ירושלים,114.4
ביתר עילית,אזור יהודה והשומרון,54.6
בני ברק,תל אביב,193.8
בת ים,תל אביב,128.7
גבעת שמואל,המרכז,25.8
גבעתיים,תל אביב,59.5
דימונה,הדרום,33.7
הוד השרון,המרכז,61.1
הרצלייה,תל אביב,94.0
חדרה,חיפה,94.0
חולון,תל אביב,192.6
חיפה,חיפה,281.1
טבריה,הצפון,43.7
טייבה,המרכז,42.4
טירה,המרכז,25.7
טירת כרמל,חיפה,21.3
טמרה,הצפון,33.4
יבנה,המרכז,45.5
יהוד,המרכז,29.7
יקנעם עילית,הצפון,22.7
ירושלים,ירושלים,901.3
כפר יונה,המרכז,22.5
כפר סבא,המרכז,100.0
כפר קאסם,המרכז,22.7
כרמיאל,הצפון,45.9
לוד,המרכז,74.6
מגדל העמק,הצפון,25.4
מודיעין עילית,אזור יהודה והשומרון,70.1
מודיעין-מכבים-רעות*,המרכז,91.3
מעלה אדומים,אזור יהודה והשומרון,37.8
מעלות-תרשיחא,הצפון,21.3
נהרייה,הצפון,56.1
נס ציונה,המרכז,49.1
נצרת,הצפון,76.6
נצרת עילית,הצפון,40.6
נשר,חיפה,23.7
נתיבות,הדרום,33.8
נתניה,המרכז,214.1
סח'נין,הצפון,30.5
עכו,הצפון,48.3
עפולה,הצפון,49.2
עראבה,הצפון,25.0
ערד,הדרום,25.5
פתח תקווה,המרכז,240.4
צפת,הצפון,35.3
קלנסווה,המרכז,22.4
קריית אונו,תל אביב,39.4
קריית אתא,חיפה,57.5
קריית ביאליק,חיפה,39.6
קריית גת,הדרום,53.5
קריית ים,חיפה,39.7
קריית מוצקין,חיפה,41.4
קריית מלאכי,הדרום,22.3
קריית שמונה,הצפון,22.8
ראש העין,המרכז,50.5
ראשון לציון,המרכז,249.9
רהט,הדרום,66.8
רחובות,המרכז,138.4
רמלה,המרכז,75.7
רמת גן,תל אביב,156.3
רמת השרון,תל אביב,46.0
רעננה,המרכז,72.8
שדרות,הדרום,25.1
שפרעם,הצפון,41.0
תל אביב -יפו,תל אביב,443.9
אבו גוש,ירושלים,7.3
אבו סנאן,הצפון,13.7
אבן יהודה,המרכז,13.7
אורנית,אזור יהודה והשומרון,8.7
אזור,תל אביב,12.7
אכסאל,הצפון,14.2
אליכין,המרכז,3.5
אלפי מנשה,אזור יהודה והשומרון,7.8
אלקנה,אזור יהודה והשומרון,3.9
אעבלין,הצפון,13.0
אפרת,אזור יהודה והשומרון,9.1
באר יעקב,המרכז,22.9
בועיינה-נוג'ידאת,הצפון,9.5
בוקעאתא,הצפון,6.5
ביר אל-מכסור,הצפון,9.1
בית אל,אזור יהודה והשומרון,6.1
בית אריה,אזור יהודה והשומרון,5.0
בית ג'ן,הצפון,11.7
בית דגן,המרכז,7.1
"בני עי""ש",המרכז,7.0
בנימינה-גבעת עדה*,חיפה,15.6
"בסמ""ה",חיפה,9.5
בסמת טבעון,הצפון,7.7
בענה,הצפון,8.1
גבעת זאב,אזור יהודה והשומרון,17.3
ג'דיידה-מכר,הצפון,20.6
גדרה,המרכז,27.5
ג'ולס,הצפון,6.3
ג'לג'וליה,המרכז,9.8
גן יבנה,המרכז,23.5
גני תקווה,המרכז,18.2
ג'סר א-זרקא,חיפה,14.4
ג'ש (גוש חלב),הצפון,3.1
ג'ת,חיפה,11.6
דאלית אל-כרמל,חיפה,17.2
דבורייה,הצפון,10.2
דייר אל-אסד,הצפון,12.1
דייר חנא,הצפון,10.1
הר אדר,אזור יהודה והשומרון,4.1
זכרון יעקב,חיפה,23.0
זמר,המרכז,6.8
זרזיר,הצפון,7.8
חורה,הדרום,20.8
חורפיש,הצפון,6.2
חצור הגלילית,הצפון,9.1
חריש,חיפה,3.6
טובא-זנגרייה,הצפון,6.5
טורעאן,הצפון,13.7
יאנוח-ג'ת,הצפון,6.5
יבנאל,הצפון,4.3
יסוד המעלה,הצפון,1.7
יפיע,הצפון,18.7
ירוחם,הדרום,9.5
ירכא,הצפון,16.7
כאבול,הצפון,13.6
כאוכב אבו אל-היג'א,הצפון,3.5
כוכב יאיר,המרכז,8.9
כסיפה,הדרום,20.3
כסרא-סמיע,הצפון,8.5
כעביה-טבאש-חג'אג'רה,הצפון,5.2
כפר ברא,המרכז,3.5
כפר ורדים,הצפון,5.5
כפר יאסיף,הצפון,9.9
כפר כמא,הצפון,3.3
כפר כנא,הצפון,22.0
כפר מנדא,הצפון,19.3
כפר קרע,חיפה,18.3
כפר שמריהו,תל אביב,1.9
כפר תבור,הצפון,4.1
להבים,הדרום,6.4
לקיה,הדרום,12.9
מבשרת ציון,ירושלים,24.4
מגאר,הצפון,22.3
מג'ד אל-כרום,הצפון,15.1
מגדל,הצפון,1.9
מג'דל שמס,הצפון,10.9
מזכרת בתיה,המרכז,14.2
מזרעה,הצפון,3.8
מטולה,הצפון,1.6
מיתר,הדרום,7.7
מסעדה,הצפון,3.6
מעיליא,הצפון,3.2
מעלה אפרים,אזור יהודה והשומרון,1.2
מעלה עירון,חיפה,14.6
מצפה רמון,הדרום,5.2
משהד,הצפון,8.1
נחף,הצפון,12.6
סאג'ור,הצפון,4.1
