סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
6,אבירים,1220,221,151,1,150,47,0,0,3,0,0,2,0,3,0,0,0,0,0,0,16,2,5,31,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,1,8,
5,אדירים,113,234,180,0,180,1,7,4,0,0,0,9,0,1,0,0,0,0,0,0,3,0,84,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,61,6,
8,אושה,278,382,276,0,276,72,7,0,3,0,0,0,0,2,0,0,1,0,0,0,37,8,24,20,0,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,
17,אחווה,1157,183,145,0,145,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,36,3,27,10,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,
17,איבים,338,138,40,0,40,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,5,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
9,אלעריאן,1316,130,84,0,84,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,אלומות,330,316,205,0,205,45,12,1,0,0,0,2,0,2,0,0,0,0,0,0,26,3,24,31,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,
9,אלוני יצחק,868,125,23,0,23,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
4,אליעד,4002,311,222,3,219,46,21,0,0,0,0,8,0,1,0,0,0,0,0,0,27,12,18,11,0,0,0,0,54,1,0,0,0,0,0,0,0,0,3,0,0,0,0,17,
4,אלמגור,1125,295,232,1,231,67,3,0,1,0,0,1,0,2,0,0,0,0,0,0,48,12,6,31,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,
4,אמנון,1253,337,220,1,219,17,38,1,0,0,0,9,0,4,0,0,0,0,0,0,27,8,63,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,1,17,
17,אמציה,23,158,103,0,103,8,21,0,0,0,1,24,0,1,0,0,0,0,0,0,5,1,22,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
4,אפיק,4301,256,177,3,174,32,8,0,0,1,0,2,0,3,0,0,0,0,0,0,22,8,14,15,0,0,0,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,
17,אשדוד,70,180164,111019,657,110362,1720,5378,13351,33,14,8,3286,24,770,8,2,12,7,12,40,4090,14572,33865,780,8,13,8,19,11509,21,10,4,1,7,16,8,11,9,383,23,6,0,15190,5144,
18,אשל הנשיא,2021,108,59,0,59,2,6,1,0,0,0,3,0,1,0,0,0,0,0,0,9,1,8,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
17,אשקלון,7100,116313,68124,394,67730,1454,4134,528,38,3,8,3421,20,524,5,1,6,7,10,37,2762,9839,27103,592,7,9,2,24,6304,20,11,6,3,5,9,3,8,23,308,19,14,0,6712,3751,
9,בית אורן,317,338,224,0,224,52,4,1,0,0,0,3,0,8,0,0,0,0,0,0,35,6,20,29,0,0,0,0,51,0,0,0,0,0,0,0,0,0,6,0,0,0,1,8,
17,בית גוברין,619,292,225,1,224,69,2,0,0,0,0,2,0,3,0,0,0,0,0,0,29,5,8,30,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,
5,בית זיד,353,112,64,0,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,2,0,1,1,0,24,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,
13,בית עובד,202,254,191,0,191,44,8,0,0,0,0,2,0,2,0,0,1,0,0,0,30,6,9,30,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,
9,בית צבי,212,64,31,0,31,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
13,בית רבן,848,322,231,0,231,2,48,5,0,0,0,126,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,
5,ברק,141,305,202,1,201,15,10,0,0,0,0,4,0,2,0,0,0,0,0,0,41,1,78,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,6,13,
18,גבעולים,2014,308,237,0,237,2,9,1,0,0,0,11,0,0,0,0,0,0,0,0,3,0,165,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,26,14,
19,גבעת חן,207,296,243,0,243,32,7,0,1,0,0,3,0,0,0,0,0,0,0,0,56,11,17,34,0,0,0,0,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,
5,גדעונה,442,313,231,0,231,11,16,23,0,0,0,9,0,5,0,0,0,0,0,0,5,5,107,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,1,0,0,7,8,
13,גיבתון,196,280,227,0,227,59,8,2,0,0,0,7,0,1,0,0,0,0,0,0,38,9,18,16,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,
2,גיזו,1043,150,122,0,122,18,11,0,0,0,1,2,0,1,0,0,0,0,0,0,10,3,37,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,
19,גני עם,218,214,175,2,173,22,10,0,0,0,1,2,0,2,0,0,0,0,0,0,33,6,21,26,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
4,גשור,4022,223,151,0,151,22,9,0,0,0,2,1,0,3,0,0,0,0,0,0,8,17,22,13,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,1,11,
5,דבורה,146,221,143,0,143,18,10,0,0,0,1,3,0,0,0,0,0,0,0,0,38,4,23,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,4,17,
18,הר עמשא,1261,120,89,0,89,20,0,0,0,0,0,2,0,1,0,0,2,0,0,0,10,2,8,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,
2,הראל,464,220,119,0,119,31,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,5,4,30,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
17,ורדון,1133,217,143,0,143,6,5,1,0,0,0,14,0,2,0,0,0,0,0,0,17,2,50,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,6,10,
18,זרועה,2064,324,230,1,229,1,10,5,0,0,0,18,0,0,0,0,0,0,0,0,4,1,143,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,31,2,
9,חרמש,3717,212,131,1,130,2,17,0,0,0,0,11,0,3,0,0,0,0,0,0,2,18,45,2,0,0,0,0,15,0,0,0,0,0,0,1,0,0,6,0,0,0,3,5,
4,טבריה,6700,35479,19755,101,19654,223,759,1538,15,1,2,998,5,97,1,1,4,1,3,5,638,1162,8521,112,2,1,1,11,1109,4,1,1,0,1,0,0,0,3,90,3,2,0,3641,698,
4,טפחות,1214,255,205,1,204,0,17,2,0,0,0,77,0,0,0,0,0,0,0,0,3,1,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3,
2,יד השמונה,1134,158,121,0,121,9,12,0,0,0,0,1,0,0,0,0,3,0,0,0,9,50,13,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,
19,ירקונה,183,311,231,0,231,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,22,26,0,0,0,0,72,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,
4,כלנית,1229,190,139,0,139,0,5,2,0,0,0,19,0,0,0,0,0,0,0,2,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,
4,כנף,4028,336,238,0,238,37,30,0,1,0,0,5,0,8,0,0,0,0,0,0,26,6,24,13,0,0,0,0,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,
2,כסלון,859,289,207,0,207,8,15,2,0,0,0,15,0,2,0,0,0,0,0,0,5,0,99,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,39,8,
5,כפר גדעון,106,189,136,1,135,1,5,44,0,0,0,19,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,
9,כפר גליקסון,310,287,220,0,220,63,10,0,3,0,1,0,0,4,0,0,0,0,0,0,26,2,7,38,0,0,0,0,54,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,
8,כפר המכבי,254,316,219,1,218,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,14,24,0,0,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,
17,כפר סילבר,107,86,36,0,36,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,6,4,8,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
12,כפר רות,1166,191,157,1,156,18,12,0,0,0,2,9,0,2,0,0,0,0,0,0,30,2,23,7,1,0,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10,
13,כרם יבנה ישיבה,1094,154,124,0,124,0,9,12,0,0,0,97,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,
17,כרמי קטיף,1374,303,254,0,254,0,51,1,0,0,0,186,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
18,כרמל,3656,277,227,0,227,0,52,2,0,0,0,152,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,לבנים,1230,329,239,0,239,31,10,2,1,0,0,10,2,5,0,0,0,0,0,0,20,8,70,6,0,0,0,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,2,18,
6,לפידות,1173,125,91,0,91,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,43,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,
9,מאיר שפיה,102,115,58,2,56,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,11,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,
